time_motor,motor_x,motor_y,            time_cam,cam_x,cam_y
1717433915631471322,19000,6000,1717433919421628726,95,65
1717433919422223717,19000,18000,1717433923908513605,108,290
1717433923917923407,2000,18000,1717433928906993164,419,276
1717433928909511589,2000,6000,1717433932757058981,417,64
1717433932757638769,9700,12000,1717433936239661258,275,172
1717433936240044826,15121,15664,1717433938826324163,179,244
1717433938826657899,12074,17099,1717433940783821277,235,267
1717433940784260326,15525,12589,1717433943463715098,168,188
1717433943464633771,10048,7163,1717433947891996897,268,82
1717433947892830275,5119,15575,1717433951373535273,360,234
1717433951375095715,4432,8351,1717433954717858829,371,102
