time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718023469878428783,1000,6000,1718023469882176003,78,81
1718023470290195185,1000,8000,1718023470303671514,78,81
1718023470705288202,1000,10000,1718023472306602017,430,130
1718023472728791073,1000,12000,1718023472734575520,430,129
1718023473134331923,1000,14000,1718023473144652097,430,130
1718023473561613919,1000,16000,1718023475549771317,430,238
1718023475969061455,1000,18000,1718023475976189086,430,237
1718023478361330541,3000,6000,1718023480311789930,398,56
1718023480724005493,3000,8000,1718023480730279951,397,56
1718023481157913257,3000,10000,1718023481180865884,398,56
1718023481605314832,3000,12000,1718023483180706975,398,167
1718023483610215270,3000,14000,1718023483624862600,398,167
1718023484049889631,3000,16000,1718023484062792895,398,167
1718023484473160430,3000,18000,1718023486177405270,400,275
1718023488558900359,5000,6000,1718023490061516941,360,57
1718023490471652073,5000,8000,1718023490481286110,360,57
1718023490902051892,5000,10000,1718023490911735317,360,57
1718023491333103553,5000,12000,1718023491336224950,360,57
1718023491765612303,5000,14000,1718023493396619700,362,204
1718023493822253260,5000,16000,1718023493827716953,362,204
1718023494261158633,5000,18000,1718023494272823361,362,204
1718023496681357035,7000,6000,1718023497996858526,322,58
1718023498405626975,7000,8000,1718023498412605571,322,58
1718023498873167222,7000,10000,1718023498879260720,322,58
1718023499305272959,7000,12000,1718023500981912821,324,169
1718023501391768032,7000,14000,1718023501396595605,324,169
1718023501881213403,7000,16000,1718023501904589394,324,169
1718023502334628460,7000,18000,1718023503996654844,326,277
1718023506409090961,9000,6000,1718023507945603931,285,59
1718023508364461522,9000,8000,1718023508374761307,285,59
1718023508788490570,9000,10000,1718023508795131875,285,59
1718023509227752161,9000,12000,1718023510495349819,288,170
1718023510917342380,9000,14000,1718023510935905038,288,170
1718023511348682000,9000,16000,1718023511352586384,288,170
1718023511773800791,9000,18000,1718023513196670109,290,278
1718023515569114031,11000,6000,1718023516916772806,248,60
1718023517339183602,11000,8000,1718023517367078523,248,60
1718023517811671587,11000,10000,1718023517816084001,248,60
1718023518229613230,11000,12000,1718023519622979930,251,172
1718023520033251543,11000,14000,1718023520039875755,251,172
1718023520453690610,11000,16000,1718023520458542553,251,172
1718023520877433681,11000,18000,1718023522542944626,254,280
1718023524946337944,13000,6000,1718023526492319660,210,61
1718023526925483124,13000,8000,1718023526930901373,210,60
1718023527396937626,13000,10000,1718023527402372672,210,61
1718023527826981619,13000,12000,1718023529197329213,215,173
1718023529616681260,13000,14000,1718023529626270020,214,173
1718023530089341615,13000,16000,1718023530094978287,215,173
1718023530531670326,13000,18000,1718023532267960699,218,281
1718023534686243160,15000,6000,1718023536145058723,172,61
1718023536579760867,15000,8000,1718023536590405166,172,61
1718023537074412086,15000,10000,1718023537093985617,172,61
1718023537575867274,15000,12000,1718023539224909365,177,174
1718023539644299505,15000,14000,1718023539654551921,177,174
1718023540089298787,15000,16000,1718023540095776427,177,173
1718023540556794851,15000,18000,1718023542272144734,181,283
1718023544712068642,17000,6000,1718023546150430800,134,61
1718023546625639134,17000,8000,1718023546636601039,134,61
1718023547081632117,17000,10000,1718023547088777914,134,62
1718023547505361487,17000,12000,1718023549000595249,140,174
1718023549434835679,17000,14000,1718023549444397309,140,174
1718023549902770737,17000,16000,1718023549906561734,140,174
1718023550324027570,17000,18000,1718023552183719099,144,284
