time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718032851274671040,2000,7000,1718032852182899846,418,69
1718032852603579971,2000,9000,1718032853683600991,418,107
1718032854088776207,2000,11000,1718032855276990981,418,144
1718032855690197609,2000,13000,1718032856999526158,418,180
1718032857400907803,2000,15000,1718032858625591847,418,216
1718032859039988846,2000,17000,1718032860304350184,419,252
1718032862361479503,4000,7000,1718032863282479354,381,71
1718032863690910983,4000,9000,1718032864967656408,380,109
1718032865375985834,4000,11000,1718032866561858053,381,146
1718032866978588202,4000,13000,1718032868181410288,381,182
1718032868591528243,4000,15000,1718032869865666523,381,217
1718032870280027653,4000,17000,1718032871478889727,382,253
1718032873542727130,6000,7000,1718032874635082222,343,72
1718032875053801692,6000,9000,1718032876464736673,343,110
1718032876878915454,6000,11000,1718032878395253398,344,146
1718032878809145869,6000,13000,1718032880263284330,344,183
1718032880673904944,6000,15000,1718032882035995329,345,219
1718032882442264918,6000,17000,1718032883813797157,345,255
1718032885856169098,8000,7000,1718032886733908657,306,73
1718032887157681568,8000,9000,1718032888664488069,306,111
1718032889096062155,8000,11000,1718032890694615163,307,148
1718032891122525492,8000,13000,1718032892513459340,308,184
1718032892928443461,8000,15000,1718032894526395312,308,220
1718032894940826109,8000,17000,1718032896166196313,309,256
1718032898221749979,10000,7000,1718032899130316636,268,74
1718032899543082903,10000,9000,1718032900852310978,269,112
1718032901267701279,10000,11000,1718032902645766938,270,149
1718032903058012787,10000,13000,1718032904411344162,271,185
1718032904826761462,10000,15000,1718032906124994152,272,221
1718032906563633075,10000,17000,1718032908108247586,273,257
1718032910168102558,12000,7000,1718032911299777601,231,75
1718032911703764838,12000,9000,1718032913323265136,232,113
1718032913739652903,12000,11000,1718032915137645867,233,150
1718032915569675503,12000,13000,1718032917301297051,235,186
1718032917716631112,12000,15000,1718032919324153041,236,222
1718032919785236821,12000,17000,1718032921216736175,237,258
1718032923258721426,14000,7000,1718032924285260114,194,75
1718032924699929686,14000,9000,1718032925985619776,195,113
1718032926406553232,14000,11000,1718032927696158836,197,150
1718032928111721672,14000,13000,1718032929474356499,198,187
1718032929887740702,14000,15000,1718032931261937424,199,223
1718032931687332923,14000,17000,1718032933057934349,200,260
1718032935086635141,16000,7000,1718032936069347971,156,76
1718032936490999380,16000,9000,1718032937966525462,157,114
1718032938389401482,16000,11000,1718032939826389031,159,152
1718032940251741290,16000,13000,1718032941547223527,161,188
1718032941967757139,16000,15000,1718032943268590922,162,225
1718032943698329873,16000,17000,1718032945075460866,163,261
1718032947155604088,18000,7000,1718032948131524005,117,76
1718032948559338170,18000,9000,1718032950053718334,119,114
1718032950477939537,18000,11000,1718032951996310052,121,152
1718032952433039506,18000,13000,1718032953816997636,123,189
1718032954243164772,18000,15000,1718032955522710627,125,226
1718032955943616881,18000,17000,1718032957374608784,126,262
