t,motor_x,motor_y,cam_x,cam_y
1716392215117779442,7443,16361,319,244
1716392219941869211,11092,9420,248,121
1716392224361104690,16458,9163,148,118
1716392228950768663,13339,13753,210,201
1716392234503728714,8256,14687,303,215
1716392314551698083,18481,15464,115,241
1716392319547526540,2765,8461,403,103
1716392324437764160,16634,16326,150,254
1716392326986404743,13608,17084,207,265
1716392330528326829,7625,9140,312,118
1716392333348690905,2892,12665,400,180
1716392336543399646,9471,8944,277,117
1716392339713782770,13682,6379,197,68
1716392343859091706,6371,17358,338,266
1716392347547121670,15693,11211,163,161
1716392350145092411,14223,15026,194,229
1716392354281734852,7010,6408,324,66
1716392358612448200,18152,17894,123,285
1716392362933443338,6972,9599,325,126
1716392366594746423,13948,12418,196,182
1716392367192722700,13603,12076,203,175
1716392370605520118,17935,15778,124,246
1716392373934006718,12674,9793,219,132
1716392378799252939,2784,10884,402,147
1716392381294665892,4542,6012,369,64
1716394066531271964,15066,7750,172,95
1716394070216825887,11945,16053,236,246
1716394073665944435,3085,16454,398,247
1716394076531945902,5061,11426,360,158
1716394079229414728,7751,7927,308,96
1716394083141694528,3971,17295,382,263
1716394086142220052,6497,11911,334,169
1716394089320563793,12543,16904,225,262
1716394092146454522,9073,12760,288,185
1716394095516242364,16744,16076,147,250
1716394100085379696,4435,10954,371,150
1716394103399220841,4864,7231,363,82
1716394106293202406,4513,12009,371,169
1716394109792838420,12606,8895,219,116
1716394113656730311,16825,7791,140,97
1716394116312678820,14809,11388,182,164
1716394117001784952,15479,10653,167,149
1716394120947118801,4078,8873,378,112
1716394125751802548,17731,17865,130,284
1716394129222213078,10821,12481,256,182
