time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1717440132790714244,19000,6000,1717440138319778816,97,64
1717440141244431807,19000,18000,1717440147526113175,108,282
1717440150975965909,2000,18000,1717440157108494492,418,274
1717440160016206863,2000,6000,1717440162620880934,418,64
1717440164812308786,9700,12000,1717440170530529228,277,169
1717440172372187452,15227,6227,1717440177194238936,170,64
1717440179921068282,2000,13564,1717440186375761439,417,195
1717440188673795910,14436,15900,1717440194085893256,192,242
1717440196079314864,8155,6890,1717440201353039270,303,74
1717440203062798404,15206,14275,1717440208788484567,177,213
1717440209959831196,12592,8887,1717440215176282635,221,114
1717440217103126792,2957,13231,1717440222808829171,399,188
1717440223517014103,6822,12753,1717440223522214744,399,189
1717440225372696563,17211,11945,1717440231966066900,138,171
1717440233040054911,13789,16660,1717440233044578282,137,171
1717440235125294424,7293,7059,1717440239207842460,319,77
1717440240757442984,9374,14576,1717440246893766149,283,215
1717440247543407882,6420,16885,1717440247555812471,283,215
1717440249940899709,14203,6028,1717440255828332277,189,64
1717440257930567221,5482,15065,1717440263002166417,354,223
1717440264295193692,11975,17564,1717440270206781841,238,271
1717440270603576299,10055,16715,1717440270607540361,238,272
1717440272606365440,11316,7096,1717440279079801535,244,79
1717440279536077201,9114,8157,1717440279540029282,244,79
1717440280723947092,2517,7596,1717440286914262438,408,84
1717440288539934223,10958,10053,1717440294496212811,252,135
1717440295489064744,5636,9085,1717440300843980178,349,115
1717440302489078750,3618,16899,1717440307599208813,388,255
1717440309767467770,13381,8966,1717440314990874677,206,116
1717440316828285266,3831,6113,1717440322354392477,383,64
1717440324262948927,14659,6576,1717440329686900925,181,69
1717440330516967416,18254,9816,1717440337083810393,115,132
1717440338058115678,12812,9688,1717440344353539345,217,129
1717440345634403394,6579,6323,1717440351012638819,331,64
1717440352753076651,3202,14403,1717440358788547599,395,210
1717440359748979793,4461,9892,1717440364702625291,372,129
1717440365562061327,7024,13729,1717440371829962539,326,199
1717440372577356950,6279,10139,1717440372582035131,326,199
1717440374383928808,15482,14144,1717440381482023115,172,211
1717440383392677928,5302,17461,1717440389740164770,357,266
1717440390721598934,3612,12775,1717440396393056380,387,181
1717440397050750843,7058,13144,1717440397053888340,388,181
1717440399098053635,17653,9453,1717440404590395151,126,126
1717440406998792608,5951,17528,1717440412588909426,346,267
1717440413065070721,5914,15221,1717440413068869968,345,267
1717440415039171846,16637,13793,1717440422457666547,149,206
1717440423792106159,13586,7586,1717440430034123911,202,89
1717440430377919345,12521,6113,1717440430381426355,202,89
1717440431517014482,17784,9353,1717440438458950945,123,123
1717440440924186158,4223,10827,1717440447406665872,376,146
1717440449570248624,15375,7316,1717440455271140800,168,84
1717440457192830388,9677,15917,1717440462319991469,278,240
1717440463214050091,14588,15645,1717440468452690128,189,238
1717440469365508820,9827,14413,1717440474605273779,274,214
1717440476197913210,4981,7279,1717440481978653948,361,80
1717440482644194657,8118,9101,1717440488188897747,304,115
1717440489296746661,11230,14022,1717440494739941093,249,207
1717440495788747470,16117,10940,1717440501070883392,157,153
1717440502521257876,8506,8822,1717440507710287057,296,111
1717440507907269205,8539,9715,1717440507911348892,296,111
1717440509302827536,2362,14886,1717440516849079963,411,218
1717440518838931343,13202,16269,1717440525178662879,214,248
1717440526858819686,5025,11607,1717440531830622087,361,161
1717440533466542490,12483,17048,1717440538489307490,228,262
1717440539404462167,9389,13001,1717440545450085791,282,188
1717440546286682334,7830,9117,1717440552430069445,309,116
1717440552839253692,8181,10971,1717440552847615284,309,116
1717440554681958067,16374,17883,1717440560925456496,156,279
1717440562357436949,14236,11085,1717440567704746744,192,155
1717440568596359888,12244,6970,1717440574853509112,226,77
1717440576599456941,13046,15390,1717440582646083592,215,232
1717440583422549235,13439,11680,1717440589225228792,207,166
1717440590434547328,17460,17005,1717440596092163613,136,264
1717440596656660089,14605,16206,1717440596660618073,136,264
1717440598965987609,6474,6071,1717440602102112931,334,64
1717440603479710822,7339,12573,1717440609650859872,318,179
1717440610598388038,7599,7919,1717440616951025303,313,93
1717440618954184062,18329,10313,1717440624251134128,113,142
1717440626838105175,4062,8843,1717440633438548169,379,109
1717440634559397132,4585,14140,1717440639541762619,370,206
1717440640915450593,6285,7625,1717440646551120674,337,87
1717440647760678156,8966,13073,1717440652495882086,290,188
1717440653195602591,5725,10836,1717440653199571889,290,188
1717440654317573471,11340,13172,1717440660460724150,246,191
1717440661591710075,4808,13144,1717440668559291400,365,189
1717440670188691164,12608,7953,1717440676493652737,220,96
1717440677934863474,8950,14464,1717440684773610897,291,213
1717440686604936860,16035,6247,1717440692910359843,153,64
1717440695300198024,2944,8659,1717440701361293749,399,105
1717440704397513905,17995,15832,1717440709777856005,125,243

























































































































































































































































































































































