time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1717440734173471188,19000,6000,1717440737375675381,97,64
1717440740309119172,19000,18000,1717440743328180820,108,280
1717440746776989627,2000,18000,1717440750820719749,419,269
1717440753727381671,2000,6000,1717440756241948110,419,64
1717440758428898348,9700,12000,1717440762532088932,276,164
1717440763836183532,12043,15551,1717440767598476021,236,229
1717440768451696242,7421,14871,1717440772560185329,319,216
1717440773333726407,4416,11482,1717440777301408689,373,153
1717440778035946042,7089,14792,1717440778040086948,372,153
1717440778515171934,4500,14420,1717440781871133316,373,205
1717440783250779139,9163,8238,1717440787493136153,285,95
1717440789521281495,14300,17755,1717440794675846884,194,271
1717440796631364453,16039,8214,1717440801290685759,157,97
1717440802242364767,11297,6012,1717440806036911748,244,64
1717440807083476076,15330,10608,1717440810827519471,172,141
1717440813100359440,4247,16762,1717440816058203009,378,249
1717440817933777290,14965,17095,1717440822191764623,183,259
1717440822717133541,14403,14580,1717440825827729232,192,213
1717440826817328969,18756,10744,1717440830740211863,106,145
1717440833239795412,6277,16180,1717440836385611542,340,238
1717440837789924195,2702,9775,1717440841021688529,405,120
1717440842463389520,2261,16759,1717440845605303308,415,248
1717440848500955228,18687,17208,1717440851637043458,112,264
1717440852418631602,14540,17911,1717440856418826245,190,274
1717440857572887635,10130,12858,1717440861837390325,269,181
1717440863119293677,13188,7020,1717440866304352209,209,72
1717440867349626681,7591,6018,1717440870476549638,314,64
1717440872612966963,10291,16288,1717440877361815048,267,242
1717440879310433059,13348,6911,1717440883857349969,204,72
1717440884932985156,8347,10595,1717440889474318442,300,139
1717440890082142670,11270,11985,1717440893953364205,248,165
1717440894583289118,14210,10237,1717440897755096326,192,135
1717440898633468800,11834,14140,1717440901949786886,239,204
1717440902890197187,6952,12822,1717440905993926465,328,179
1717440907328867547,12863,7697,1717440911369345001,216,86
1717440912522494279,16703,12785,1717440916468522794,147,182
1717440917904794765,9228,10749,1717440920880005365,285,141
1717440922196969933,10795,16898,1717440925153156821,258,254
1717440927205934870,7805,7231,1717440930272303723,309,75
1717440932174095164,16232,14196,1717440936195924195,157,207
1717440938617486773,3274,11350,1717440941731059250,395,149
1717440943708143324,13070,15696,1717440946876745060,217,233
1717440948459583444,5259,12016,1717440952337624832,357,163
1717440952895307643,8187,12564,1717440955963624927,304,174
1717440956679889829,8323,9093,1717440960296035711,301,111
1717440961856870529,16362,6658,1717440965813651018,149,66
1717440968884679679,2522,17730,1717440972921310303,409,264
1717440975684738216,14546,6711,1717440979256619143,183,67
1717440981132217693,6205,13768,1717440984238301099,341,195
1717440985351199474,11237,17497,1717440989215870919,251,264
1717440991404030354,8674,7084,1717440994684616937,294,73
1717440995434823289,12045,9984,1717440999526475807,232,128
1717441000378363658,7954,7835,1717441004247853748,307,86
1717441005261317156,3145,10934,1717441005264753144,308,86
1717441006977343303,11608,15198,1717441010184193338,243,223
1717441011502473434,17203,9539,1717441015919018287,135,122
1717441016310005590,15180,9261,1717441016320141483,135,122
1717441017086770196,18920,10687,1717441021659646655,103,144
1717441023060485803,11676,8600,1717441026195653727,238,103
1717441027382994863,7015,10873,1717441031478195652,325,143
1717441032182910880,10587,9725,1717441036489154686,259,123
1717441037281960695,6774,11633,1717441041040761058,329,156
1717441041754246099,10512,12547,1717441046124523377,261,175
1717441046870227790,13957,10429,1717441050002527955,197,138
1717441051723692208,4577,11570,1717441054771475949,370,154
1717441055233585910,2014,11398,1717441055237716944,369,155
1717441058183075225,16640,17545,1717441061855423999,152,268
1717441063617771368,18862,9227,1717441066410516539,101,116
1717441068487643434,9091,15694,1717441072374217563,289,230
1717441072780403702,10591,17366,1717441072784225851,289,232
1717441073935690054,16708,16175,1717441076930794054,148,244
1717441078568425638,18287,8279,1717441081570364972,113,99
1717441082978895074,18286,15164,1717441086003694570,119,227
1717441086608204596,16588,17843,1717441086612241928,120,227
1717441088353892087,7140,16085,1717441092283925115,324,238
1717441094710171718,18610,8973,1717441098762749085,107,111
1717441100582908326,8872,6988,1717441103933003998,290,70
1717441105575891855,18184,7352,1717441109911308253,113,80
1717441111687039425,15635,15773,1717441114617856869,170,236
1717441115370016252,11688,14956,1717441119566352971,241,220
1717441119899429951,13060,16102,1717441119903037881,241,219
1717441120727659539,9552,12975,1717441124888421729,279,183
1717441126067250930,11885,7578,1717441130324822623,232,84
1717441132182805957,2069,9808,1717441135298453946,417,121
1717441138368740501,16919,17955,1717441142543413928,146,276
1717441143941312050,12446,11723,1717441147412593065,225,161
