t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
3.537322816,1.154150815,2.368722779,0.014017947,1745832756353662748,7500,13500,1745832758722378916,235,267
1.912987553,0.817751983,1.092042465,0.00139997,1745832759556373496,3500,15500,1745832760648413794,331,312
2.090021807,0.930629135,1.156726933,0.001613562,1745832761583868670,7500,11500,1745832762740637103,233,220
2.509713992,1.144964044,1.352269563,0.01082825,1745832763890301018,1500,13500,1745832765242557562,348,264
2.637962199,1.350629133,1.283685835,0.002242927,1745832766605863876,7500,19500,1745832767889541526,236,407
3.096508334,1.654280305,1.438059561,0.003760193,1745832769546913084,9500,11500,1745832770984966720,185,220
2.805669079,1.610185631,1.18855889,0.006111601,1745832772601938447,9500,19500,1745832773790493448,190,407
2.920043026,1.706724599,1.207209659,0.005613938,1745832775518475458,5500,11500,1745832776725690024,282,219
2.764322306,1.585851478,1.169848542,0.003122661,1745832778323716871,5500,19500,1745832779493601247,283,406
2.883233107,1.599335268,1.268087257,0.014863978,1745832781100617956,13500,15500,1745832782368716230,91,317
2.486359326,1.255452892,1.220214497,0.002438833,1745832783648188808,11500,9500,1745832784868448398,137,173
4.013623058,2.118140896,1.876028996,0.018446711,1745832786990432912,15500,19500,1745832788866627963,47,413
1.904115823,0.792925297,1.101209825,0.003070902,1745832789685849003,11500,21500,1745832790787051328,144,450
4.27757677,3.831469573,0.435266706,0.004055154,1745832794629175024,3500,3500,1745832795064442878,333,111
