t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.956257565,1.948452004,0.003487601,0.0035416,1750426416370056692,6000,22000,1750426416373540071,125,219
0.865872525,0.660072868,0.19639645,0.004195981,1750426417043266143,10000,22000,1750426417239662555,84,225
1.641259163,1.629580099,0.004486347,0.006093196,1750426418875706345,14000,14000,1750426418880191284,37,143
2.002026154,1.801444474,0.195199843,0.002497615,1750426420690365549,6000,6000,1750426420885568948,125,53
3.309786495,3.30242026,0.00427885,0.002654909,1750426424191993266,2000,22000,1750426424196273949,168,221
2.351773631,2.343880532,0.004023262,0.001579034,1750426426547332293,2000,10000,1750426426551341851,168,99
1.687294252,1.680807523,0.004246407,0.001747347,1750426428234610953,6000,18000,1750426428238855119,124,179
2.498064443,2.491753026,0.003931244,0.001915086,1750426430733355034,2000,6000,1750426430737283278,169,55
1.680184835,1.670678554,0.004105853,0.004280462,1750426432412459532,6000,14000,1750426432416553996,124,137
1.092952602,0.907902687,0.181523183,0.002799278,1750426433330138422,10000,10000,1750426433511710550,80,97
1.734018321,1.538641761,0.192625226,0.002346099,1750426435054055688,2000,14000,1750426435246678914,167,138
2.076441658,1.795094749,0.277454737,0.003487214,1750426437044885492,10000,6000,1750426437322384414,80,52
1.563914973,1.554428857,0.003939134,0.005039692,1750426438929015156,2000,2000,1750426438932949567,164,7
2.646803182,2.639785274,0.003910874,0.002401043,1750426441579130404,10000,14000,1750426441583038779,80,138
1.093030818,0.844331003,0.242199457,0.002791815,1750426442434728480,14000,10000,1750426442676927327,37,97
1.706268559,1.69872838,0.004315295,0.002821667,1750426444380227813,10000,18000,1750426444384539145,81,180
2.552711804,2.539047723,0.01002461,0.00289435,1750426446928494175,14000,6000,1750426446938520802,35,55
3.470593365,3.245707606,0.221535043,0.00291637,1750426450188092617,14000,22000,1750426450409672586,38,225
4.054607909,4.046911696,0.004223704,0.003118866,1750426454460168457,14000,2000,1750426454464389013,35,9
3.550006559,3.540240112,0.004413961,0.004136835,1750426458011082892,2000,18000,1750426458015495724,167,179
3.466162488,3.455467479,0.004284036,0.005835536,1750426461476203689,10000,2000,1750426461480462486,79,10
3.323939714,3.314321968,0.004277519,0.004180131,1750426464802594204,14000,18000,1750426464806868982,37,182
2.098646554,1.841002519,0.253204388,0.003573713,1750426466653310264,6000,10000,1750426466906501912,124,96
1.565308248,1.552849261,0.004153131,0.007827399,1750426468463755485,6000,2000,1750426468467905802,125,10
