time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1718032793519880137,2000,7000,1718032794736685609,414,74
1718032797148277745,2000,9000,1718032798532663162,414,112
1718032800945557390,2000,11000,1718032802498444885,414,149
1718032804934338370,2000,13000,1718032806525843899,414,185
1718032808936161854,2000,15000,1718032810262268044,414,221
1718032812671604627,2000,17000,1718032814155998666,414,257
1718032818200438958,4000,7000,1718032819482588570,376,76
1718032821902607768,4000,9000,1718032823246360298,376,113
1718032825658949760,4000,11000,1718032827285358586,377,150
1718032829702588236,4000,13000,1718032831275261264,377,186
