t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.120636061,1.111190076,0.00513895,0.002345913,1750337279288833295,14000,18000,1750337279293975504,38,182
2.622788387,2.616345641,0.004273794,0.00146887,1750337281914205593,6000,6000,1750337281918475499,124,56
0.857408583,0.621433592,0.232185375,0.001354871,1750337282545135725,2000,6000,1750337282777317729,169,51
2.414037051,2.407601656,0.004055408,0.001847439,1750337285187290927,6000,18000,1750337285191351077,124,178
1.731990899,1.559583298,0.169063053,0.001635645,1750337286755625775,14000,22000,1750337286924687939,37,226
2.292097145,2.28349626,0.004276572,0.001658293,1750337289212998579,2000,18000,1750337289217270837,164,182
1.618758285,1.609296836,0.004163815,0.003551175,1750337290830966355,2000,10000,1750337290835125189,167,98
1.051272026,0.867675241,0.18090408,0.002084805,1750337291707675272,6000,14000,1750337291888621925,124,139
0.818208718,0.639547276,0.176163846,0.001992418,1750337292531260419,10000,14000,1750337292707457691,81,140
1.302010874,1.290657007,0.008146021,0.002756963,1750337294000983993,2000,14000,1750337294009130866,164,139
1.717087079,1.63839565,0.073857605,0.004305886,1750337295656055883,10000,18000,1750337295729913136,80,182
3.555336943,3.383945256,0.167631275,0.002459374,1750337299120830039,2000,2000,1750337299288470648,169,8
4.042217206,3.986167937,0.051687234,0.003888541,1750337303278090576,2000,22000,1750337303329790162,168,223
2.617664472,2.609250214,0.004310294,0.002977293,1750337305944480117,10000,10000,1750337305948788041,80,100
1.665292623,1.654687209,0.004199629,0.005490556,1750337307607460086,14000,2000,1750337307611658382,35,10
1.573001302,1.564004219,0.004260739,0.003053052,1750337309184491353,14000,10000,1750337309188744833,37,92
1.966482296,1.800932844,0.161398544,0.002795259,1750337310994576093,6000,2000,1750337311155970693,125,8
1.554468605,1.54708913,0.004259147,0.002729204,1750337312706805717,6000,10000,1750337312711060808,124,93
1.668267435,1.659047095,0.004214758,0.004503625,1750337314373824761,10000,2000,1750337314378037501,80,11
2.474031429,2.461178101,0.005193875,0.005962179,1750337316847557323,14000,14000,1750337316852761772,37,139
1.683489471,1.673997191,0.004027501,0.003919503,1750337318535540679,10000,22000,1750337318539524107,83,222
3.375642104,3.171203784,0.198557824,0.003587415,1750337321717728741,10000,6000,1750337321916270881,81,52
3.301779536,3.286226706,0.008811308,0.006279027,1750337325207173951,6000,22000,1750337325215986092,126,220
3.69666388,3.437346832,0.251645484,0.003654914,1750337328664125706,14000,6000,1750337328915824615,36,52
