t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.782752609,0.491649866,0.287398979,0.002964589,1751293618678242370,10000,10000,1751293618965639868,81,97
2.692229432,2.444595533,0.242765318,0.001596404,1751293621417723150,6000,22000,1751293621660491115,117,198
2.233430575,1.962460109,0.268858698,0.001657848,1751293623625416246,6000,12000,1751293623894345850,116,114
2.039992445,1.677602835,0.353972486,0.007946168,1751293625575200621,2000,4000,1751293625929236662,152,42
1.29180736,1.111432164,0.177301684,0.002653981,1751293627049544056,8000,6000,1751293627226843054,98,62
3.130610005,2.869062873,0.258185678,0.001809864,1751293630100875840,6000,20000,1751293630359060796,116,181
0.670066827,0.43158847,0.235699803,0.002245913,1751293630793596800,4000,22000,1751293631028994496,134,198
4.494744176,4.319469872,0.17263484,0.002125378,1751293635351708138,14000,2000,1751293635524345533,43,24
2.900064216,1.229703954,1.665523662,0.004279959,1751293636756931707,12000,8000,1751293638422530812,63,80
2.097569883,1.927877854,0.165440087,0.002575428,1751293640357172017,2000,12000,1751293640522611919,151,113
1.305194781,1.124849937,0.17474094,0.005106318,1751293641651309358,8000,10000,1751293641826185760,98,97
0.610322575,0.42428644,0.182606442,0.002341394,1751293642257413492,6000,10000,1751293642440018009,116,97
2.784920707,2.627370548,0.153984134,0.002548205,1751293645071182005,14000,22000,1751293645225161787,47,201
2.463284552,2.299181336,0.159865126,0.002954219,1751293647528588157,2000,18000,1751293647688587874,150,164
1.232766723,1.016720687,0.21222957,0.003351324,1751293648708916214,8000,18000,1751293648921237543,99,165
0.933606464,0.765879483,0.162975843,0.004277459,1751293649691218320,4000,16000,1751293649854194996,133,147
1.896806221,1.6372831,0.256203741,0.002943311,1751293651497391496,6000,8000,1751293651753593441,116,79
0.541796631,0.31779315,0.220048481,0.003452008,1751293652075272611,8000,8000,1751293652295315554,98,79
2.690084157,2.526383546,0.159204895,0.003571376,1751293654827348448,14000,20000,1751293654986647693,47,184
0.539362608,0.340270394,0.195640799,0.003052069,1751293655331167511,12000,20000,1751293655526807550,65,183
1.59338237,1.317493069,0.270661855,0.004338737,1751293656850734752,6000,14000,1751293657121394719,116,131
0.79544822,0.63688854,0.154168741,0.003712856,1751293657765491289,2000,14000,1751293657919656530,150,130
2.998637188,2.674198927,0.320415298,0.003541007,1751293660598332617,12000,2000,1751293660918745748,62,24
2.302808182,1.988892165,0.307052704,0.006472578,1751293662912856231,12000,12000,1751293663219900695,64,115
1.063806124,0.798982097,0.258282359,0.005835734,1751293664026576351,10000,16000,1751293664284952283,82,148
1.497785353,1.201360632,0.291596029,0.004403532,1751293665492929435,4000,12000,1751293665784616425,133,114
1.165547997,0.833468027,0.327556902,0.003971057,1751293666623290565,6000,16000,1751293666950846616,116,148
1.497567966,1.293935186,0.192728171,0.010126972,1751293668257561088,10000,22000,1751293668450370129,82,200
1.057949926,0.749668036,0.300516627,0.004487605,1751293669216164220,10000,18000,1751293669516757309,81,165
1.433281927,1.176739359,0.251414047,0.004697546,1751293670698685189,10000,12000,1751293670950096846,81,115
1.803739403,1.580270266,0.213579921,0.004044185,1751293672541883861,2000,8000,1751293672755460504,151,78
2.194998368,1.795639865,0.392515819,0.005533776,1751293674556925974,12000,6000,1751293674949441108,63,62
0.643817829,0.399053525,0.238560482,0.004906748,1751293675355692052,12000,4000,1751293675594250424,62,43
3.687629544,3.438291803,0.243895131,0.00495882,1751293679038475867,4000,20000,1751293679282378886,133,181
1.197397033,1.030771669,0.161493472,0.00450442,1751293680319787037,10000,20000,1751293680481278473,82,182
1.466177265,1.290858594,0.16953701,0.005302019,1751293681777883877,14000,14000,1751293681947417460,46,132
0.999214697,0.754103582,0.24000887,0.004745582,1751293682707639792,14000,18000,1751293682947645032,47,166
2.36653975,2.162757363,0.198577775,0.004810915,1751293685116024668,2000,20000,1751293685314608943,150,180
4.131009611,3.816549012,0.308051374,0.004812507,1751293689138059897,8000,2000,1751293689446184010,98,24
2.665698891,2.492196269,0.167888329,0.005029949,1751293691944125256,12000,14000,1751293692112085268,64,132
2.042205597,1.635518549,0.399786791,0.005934455,1751293693754267207,14000,6000,1751293694154051016,44,61
0.791520767,0.387854474,0.396201821,0.006972978,1751293694548953393,14000,4000,1751293694945148419,44,43
2.205452136,2.022326889,0.174510922,0.006722462,1751293696977707888,2000,6000,1751293697152218643,152,60
1.061172262,0.794649482,0.258029064,0.006650186,1751293697956380530,4000,10000,1751293698214408169,133,96
1.507843738,1.134291103,0.362198532,0.009907437,1751293699357385726,4000,4000,1751293699719592220,134,42
0.784490381,0.470833586,0.305263967,0.007025236,1751293700205519264,2000,2000,1751293700510773453,152,24
2.276554798,2.071488354,0.188834724,0.012981894,1751293702593236285,12000,10000,1751293702782070083,63,97
1.749257232,1.541480048,0.188870093,0.014171805,1751293704342146819,4000,6000,1751293704531010134,134,61
0.789995304,0.468539876,0.312809047,0.00806937,1751293705014868299,4000,8000,1751293705327669383,134,79
1.352534159,1.093229187,0.251193676,0.006478762,1751293706430957931,4000,14000,1751293706682148293,133,130
2.194668871,2.022642526,0.165875819,0.005557904,1751293708712834263,14000,8000,1751293708878708582,45,80
2.505963196,2.028216244,0.467228042,0.007731338,1751293710915766407,12000,18000,1751293711383116521,65,166
1.557551786,1.345776843,0.204940519,0.006097953,1751293712738717191,4000,18000,1751293712943655025,133,164
1.177087507,0.856900933,0.310508856,0.009149022,1751293713807684841,2000,22000,1751293714118186660,151,198
1.905195515,1.697085559,0.198864585,0.006817794,1751293715827397273,12000,22000,1751293716026246080,65,200
1.936615821,1.592606317,0.32602029,0.012816822,1751293717631644721,10000,14000,1751293717957657751,82,131
1.873184845,1.545206824,0.302777611,0.024055241,1751293719518074735,2000,10000,1751293719820647349,151,96
1.592681148,1.122897013,0.450055408,0.017471888,1751293720971399477,2000,16000,1751293721421443551,150,147
1.628415228,1.275775788,0.330077233,0.021399408,1751293722717484541,8000,14000,1751293723047537293,99,131
1.526762225,1.354211222,0.150957154,0.020934488,1751293724424726678,8000,16000,1751293724575667462,99,148
2.317897323,1.922893747,0.375922636,0.017906641,1751293726521093749,10000,6000,1751293726897011533,80,61
1.045962779,0.739915325,0.287940611,0.015995575,1751293727664036891,6000,4000,1751293727951970058,116,43
1.931013412,1.670003187,0.242966196,0.017232299,1751293729646162614,14000,12000,1751293729889134403,46,115
2.05433739,1.647420998,0.383662214,0.02251854,1751293731555457677,8000,20000,1751293731939115613,99,182
2.425517738,2.028503431,0.37605156,0.019830336,1751293733992597014,14000,10000,1751293734368638351,45,97
2.316774759,2.087811147,0.209334124,0.018485911,1751293736478561785,4000,2000,1751293736687879779,134,24
4.270877029,4.056785027,0.19481425,0.015731764,1751293740767533157,8000,22000,1751293740962318982,99,199
4.32680414,4.037771508,0.280148626,0.007918353,1751293745021671932,6000,2000,1751293745301900519,116,24
0.936403604,0.761597189,0.163482646,0.010737944,1751293746072396196,10000,4000,1751293746235865435,80,43
0.647604302,0.426714727,0.199528556,0.018940812,1751293746676388731,8000,4000,1751293746875913693,98,43
2.719914472,2.487607148,0.218795455,0.012050463,1751293749384330016,12000,16000,1751293749603120008,64,149
3.09534685,2.85493501,0.231464002,0.00811485,1751293752471807920,10000,2000,1751293752703271552,80,24
1.423994876,1.156422596,0.246918639,0.019994242,1751293753870037412,10000,8000,1751293754117085551,81,79
2.304442881,2.046567041,0.246633922,0.010349671,1751293756187072749,6000,18000,1751293756433792095,116,164
2.667232231,2.386405616,0.271862925,0.008299663,1751293758832722631,6000,6000,1751293759104730164,116,61
1.529079531,1.233199161,0.284902596,0.010068805,1751293760347481009,8000,12000,1751293760632373715,98,114
1.482340122,1.24102135,0.227567018,0.013272798,1751293761884504300,14000,16000,1751293762112063707,47,149
